spec,comb,test,down,solutions,limit_test,limit_down,limit_solutions
4508266383221463582,11871522780173434607,14,8,2,14,8,2
4508266383221463582,7961151471083848655,14,7,1,14,8,2
4508266383221463582,9907127745160836775,22,10,2,22,12,4
4508266383221463582,14696297025090193322,22,10,2,22,12,4
4508266383221463582,18387860139792047690,26,14,4,26,14,4
4508266383221463582,5856198991986604457,26,12,2,26,14,4
4508266383221463582,15861483196525139553,42,18,4,42,22,8
4508266383221463582,17471456760654050195,42,18,4,42,22,8
4508266383221463582,15786371746276086785,28,16,4,28,16,4
4508266383221463582,8703768238146895835,28,14,2,28,16,4
4508266383221463582,16632910022995741870,44,20,4,44,24,8
4508266383221463582,1319992477807027015,44,20,4,44,24,8
4508266383221463582,9581802723584445816,52,28,8,52,28,8
4508266383221463582,198170937666578798,52,24,4,52,28,8
4508266383221463582,18047859571204980094,84,36,8,84,44,16
4508266383221463582,8572321140509640205,84,36,8,84,44,16
14344353946717977942,11871522780173434607,14,8,2,14,8,2
14344353946717977942,9907127745160836775,18,8,2,18,10,4
14344353946717977942,7961151471083848655,14,7,1,14,8,2
14344353946717977942,14696297025090193322,18,8,2,18,10,4
14344353946717977942,18387860139792047690,26,14,4,26,14,4
14344353946717977942,15861483196525139553,34,14,4,34,18,8
14344353946717977942,5856198991986604457,26,12,2,26,14,4
14344353946717977942,17471456760654050195,34,14,4,34,18,8
14344353946717977942,15786371746276086785,28,16,4,28,16,4
14344353946717977942,16632910022995741870,36,16,4,36,20,8
14344353946717977942,8703768238146895835,28,14,2,28,16,4
14344353946717977942,1319992477807027015,36,16,4,36,20,8
14344353946717977942,9581802723584445816,52,28,8,52,28,8
14344353946717977942,18047859571204980094,68,28,8,68,36,16
14344353946717977942,198170937666578798,52,24,4,52,28,8
14344353946717977942,8572321140509640205,68,28,8,68,36,16
16297046975358952778,11871522780173434607,18,10,2,22,14,4
16297046975358952778,7961151471083848655,18,9,1,22,14,4
16297046975358952778,18387860139792047690,30,14,4,38,22,8
16297046975358952778,5856198991986604457,30,12,2,38,22,8
16297046975358952778,9907127745160836775,34,16,2,42,26,8
16297046975358952778,14696297025090193322,34,16,2,42,26,8
16297046975358952778,15861483196525139553,58,22,4,74,42,16
16297046975358952778,17471456760654050195,58,22,4,74,42,16
16297046975358952778,15786371746276086785,36,20,4,44,28,8
16297046975358952778,8703768238146895835,36,18,2,44,28,8
16297046975358952778,9581802723584445816,60,28,8,76,44,16
16297046975358952778,198170937666578798,60,24,4,76,44,16
16297046975358952778,16632910022995741870,68,32,4,84,52,16
16297046975358952778,1319992477807027015,68,32,4,84,52,16
16297046975358952778,18047859571204980094,116,44,8,148,84,32
16297046975358952778,8572321140509640205,116,44,8,148,84,32
3811313418503685817,11871522780173434607,22,12,2,22,14,4
3811313418503685817,18387860139792047690,30,14,4,30,18,8
3811313418503685817,7961151471083848655,18,9,1,22,14,4
3811313418503685817,5856198991986604457,22,10,2,30,18,8
3811313418503685817,9907127745160836775,34,16,2,42,26,8
3811313418503685817,15861483196525139553,42,18,4,58,34,16
3811313418503685817,14696297025090193322,34,16,2,42,26,8
3811313418503685817,17471456760654050195,42,18,4,58,34,16
3811313418503685817,15786371746276086785,44,24,4,44,28,8
3811313418503685817,9581802723584445816,60,28,8,60,36,16
3811313418503685817,8703768238146895835,36,18,2,44,28,8
3811313418503685817,198170937666578798,44,20,4,60,36,16
3811313418503685817,16632910022995741870,68,32,4,84,52,16
3811313418503685817,18047859571204980094,84,36,8,116,68,32
3811313418503685817,1319992477807027015,68,32,4,84,52,16
3811313418503685817,8572321140509640205,84,36,8,116,68,32
10084136718818915302,11871522780173434607,14,8,2,14,8,2
10084136718818915302,9907127745160836775,18,8,2,18,10,4
10084136718818915302,18387860139792047690,22,12,4,22,12,4
10084136718818915302,15861483196525139553,30,12,4,30,16,8
10084136718818915302,7961151471083848655,14,7,1,14,8,2
10084136718818915302,14696297025090193322,18,8,2,18,10,4
10084136718818915302,5856198991986604457,22,10,2,22,12,4
10084136718818915302,17471456760654050195,30,12,4,30,16,8
10084136718818915302,15786371746276086785,28,16,4,28,16,4
10084136718818915302,16632910022995741870,36,16,4,36,20,8
10084136718818915302,9581802723584445816,44,24,8,44,24,8
10084136718818915302,18047859571204980094,60,24,8,60,32,16
10084136718818915302,8703768238146895835,28,14,2,28,16,4
10084136718818915302,1319992477807027015,36,16,4,36,20,8
10084136718818915302,198170937666578798,44,20,4,44,24,8
10084136718818915302,8572321140509640205,60,24,8,60,32,16
13113339827851319349,11871522780173434607,18,10,2,18,12,4
13113339827851319349,18387860139792047690,26,12,4,26,16,8
13113339827851319349,9907127745160836775,22,10,2,22,12,4
13113339827851319349,15861483196525139553,30,12,4,30,16,8
13113339827851319349,7961151471083848655,14,7,1,18,12,4
13113339827851319349,5856198991986604457,18,8,2,26,16,8
13113339827851319349,14696297025090193322,22,10,2,22,12,4
13113339827851319349,17471456760654050195,30,12,4,30,16,8
13113339827851319349,15786371746276086785,36,20,4,36,24,8
13113339827851319349,9581802723584445816,52,24,8,52,32,16
13113339827851319349,16632910022995741870,44,20,4,44,24,8
13113339827851319349,18047859571204980094,60,24,8,60,32,16
13113339827851319349,8703768238146895835,28,14,2,36,24,8
13113339827851319349,198170937666578798,36,16,4,52,32,16
13113339827851319349,1319992477807027015,44,20,4,44,24,8
13113339827851319349,8572321140509640205,60,24,8,60,32,16
14638827405611053494,11871522780173434607,14,8,2,22,14,4
14638827405611053494,7961151471083848655,14,7,1,22,14,4
14638827405611053494,9907127745160836775,22,10,2,38,22,8
14638827405611053494,14696297025090193322,22,10,2,38,22,8
14638827405611053494,15786371746276086785,26,14,4,26,14,4
14638827405611053494,8703768238146895835,26,12,2,26,14,4
14638827405611053494,16632910022995741870,42,18,4,42,22,8
14638827405611053494,1319992477807027015,42,18,4,42,22,8
14638827405611053494,18387860139792047690,28,16,4,44,28,8
14638827405611053494,5856198991986604457,28,14,2,44,28,8
14638827405611053494,15861483196525139553,44,20,4,76,44,16
14638827405611053494,17471456760654050195,44,20,4,76,44,16
14638827405611053494,9581802723584445816,52,28,8,52,28,8
14638827405611053494,198170937666578798,52,24,4,52,28,8
14638827405611053494,18047859571204980094,84,36,8,84,44,16
14638827405611053494,8572321140509640205,84,36,8,84,44,16
17042254634646949542,11871522780173434607,14,8,2,22,14,4
17042254634646949542,9907127745160836775,18,8,2,30,18,8
17042254634646949542,7961151471083848655,14,7,1,22,14,4
17042254634646949542,14696297025090193322,18,8,2,30,18,8
17042254634646949542,15786371746276086785,26,14,4,26,14,4
17042254634646949542,16632910022995741870,34,14,4,34,18,8
17042254634646949542,8703768238146895835,26,12,2,26,14,4
17042254634646949542,1319992477807027015,34,14,4,34,18,8
17042254634646949542,18387860139792047690,28,16,4,44,28,8
17042254634646949542,15861483196525139553,36,16,4,60,36,16
17042254634646949542,5856198991986604457,28,14,2,44,28,8
17042254634646949542,17471456760654050195,36,16,4,60,36,16
17042254634646949542,9581802723584445816,52,28,8,52,28,8
17042254634646949542,18047859571204980094,68,28,8,68,36,16
17042254634646949542,198170937666578798,52,24,4,52,28,8
17042254634646949542,8572321140509640205,68,28,8,68,36,16
2159425635055381117,11871522780173434607,14,8,2,18,12,4
2159425635055381117,7961151471083848655,14,7,1,18,12,4
2159425635055381117,15786371746276086785,22,12,4,22,12,4
2159425635055381117,8703768238146895835,22,10,2,22,12,4
2159425635055381117,9907127745160836775,26,12,2,34,22,8
2159425635055381117,14696297025090193322,26,12,2,34,22,8
2159425635055381117,16632910022995741870,42,18,4,42,22,8
2159425635055381117,1319992477807027015,42,18,4,42,22,8
2159425635055381117,18387860139792047690,28,16,4,36,24,8
2159425635055381117,5856198991986604457,28,14,2,36,24,8
2159425635055381117,9581802723584445816,44,24,8,44,24,8
2159425635055381117,198170937666578798,44,20,4,44,24,8
2159425635055381117,15861483196525139553,52,24,4,68,44,16
2159425635055381117,17471456760654050195,52,24,4,68,44,16
2159425635055381117,18047859571204980094,84,36,8,84,44,16
2159425635055381117,8572321140509640205,84,36,8,84,44,16
11372430297802169839,11871522780173434607,18,10,2,18,12,4
11372430297802169839,15786371746276086785,26,12,4,26,16,8
11372430297802169839,7961151471083848655,14,7,1,14,8,2
11372430297802169839,8703768238146895835,18,8,2,18,10,4
11372430297802169839,9907127745160836775,26,12,2,34,22,8
11372430297802169839,16632910022995741870,34,14,4,50,30,16
11372430297802169839,14696297025090193322,26,12,2,26,14,4
11372430297802169839,1319992477807027015,34,14,4,34,18,8
11372430297802169839,18387860139792047690,36,20,4,36,24,8
11372430297802169839,9581802723584445816,52,24,8,52,32,16
11372430297802169839,5856198991986604457,28,14,2,28,16,4
11372430297802169839,198170937666578798,36,16,4,36,20,8
11372430297802169839,15861483196525139553,52,24,4,68,44,16
11372430297802169839,18047859571204980094,68,28,8,100,60,32
11372430297802169839,17471456760654050195,52,24,4,52,28,8
11372430297802169839,8572321140509640205,68,28,8,68,36,16
17325288379833613561,11871522780173434607,18,10,2,22,14,4
17325288379833613561,9907127745160836775,22,10,2,30,18,8
17325288379833613561,15786371746276086785,30,14,4,38,22,8
17325288379833613561,16632910022995741870,38,14,4,54,30,16
17325288379833613561,7961151471083848655,18,9,1,22,14,4
17325288379833613561,14696297025090193322,22,10,2,30,18,8
17325288379833613561,8703768238146895835,30,12,2,38,22,8
17325288379833613561,1319992477807027015,38,14,4,54,30,16
17325288379833613561,18387860139792047690,36,20,4,44,28,8
17325288379833613561,15861483196525139553,44,20,4,60,36,16
17325288379833613561,9581802723584445816,60,28,8,76,44,16
17325288379833613561,18047859571204980094,76,28,8,108,60,32
17325288379833613561,5856198991986604457,36,18,2,44,28,8
17325288379833613561,17471456760654050195,44,20,4,60,36,16
17325288379833613561,198170937666578798,60,24,4,76,44,16
17325288379833613561,8572321140509640205,76,28,8,108,60,32
2049400543710118360,11871522780173434607,22,12,2,22,14,4
2049400543710118360,15786371746276086785,30,14,4,30,18,8
2049400543710118360,9907127745160836775,30,12,2,38,22,8
2049400543710118360,16632910022995741870,38,14,4,54,30,16
2049400543710118360,7961151471083848655,18,9,1,22,14,4
2049400543710118360,8703768238146895835,22,10,2,30,18,8
2049400543710118360,14696297025090193322,30,12,2,38,22,8
2049400543710118360,1319992477807027015,38,14,4,54,30,16
2049400543710118360,18387860139792047690,44,24,4,44,28,8
2049400543710118360,9581802723584445816,60,28,8,60,36,16
2049400543710118360,15861483196525139553,60,24,4,76,44,16
2049400543710118360,18047859571204980094,76,28,8,108,60,32
2049400543710118360,5856198991986604457,36,18,2,44,28,8
2049400543710118360,198170937666578798,44,20,4,60,36,16
2049400543710118360,17471456760654050195,60,24,4,76,44,16
2049400543710118360,8572321140509640205,76,28,8,108,60,32
7253850164742809559,11871522780173434607,18,10,2,22,14,4
7253850164742809559,7961151471083848655,18,9,1,22,14,4
7253850164742809559,18387860139792047690,30,14,4,38,22,8
7253850164742809559,5856198991986604457,30,12,2,38,22,8
7253850164742809559,15786371746276086785,34,18,4,42,26,8
7253850164742809559,8703768238146895835,34,16,2,42,26,8
7253850164742809559,9581802723584445816,58,26,8,74,42,16
7253850164742809559,198170937666578798,58,22,4,74,42,16
7253850164742809559,9907127745160836775,36,18,2,44,28,8
7253850164742809559,14696297025090193322,36,18,2,44,28,8
7253850164742809559,15861483196525139553,60,24,4,76,44,16
7253850164742809559,17471456760654050195,60,24,4,76,44,16
7253850164742809559,16632910022995741870,68,32,4,84,52,16
7253850164742809559,1319992477807027015,68,32,4,84,52,16
7253850164742809559,18047859571204980094,116,44,8,148,84,32
7253850164742809559,8572321140509640205,116,44,8,148,84,32
11018208333727614859,11871522780173434607,22,12,2,22,14,4
11018208333727614859,18387860139792047690,30,14,4,30,18,8
11018208333727614859,7961151471083848655,18,9,1,22,14,4
11018208333727614859,5856198991986604457,22,10,2,30,18,8
11018208333727614859,15786371746276086785,42,22,4,42,26,8
11018208333727614859,9581802723584445816,58,26,8,58,34,16
11018208333727614859,8703768238146895835,34,16,2,42,26,8
11018208333727614859,198170937666578798,42,18,4,58,34,16
11018208333727614859,9907127745160836775,36,18,2,44,28,8
11018208333727614859,15861483196525139553,44,20,4,60,36,16
11018208333727614859,14696297025090193322,36,18,2,44,28,8
11018208333727614859,17471456760654050195,44,20,4,60,36,16
11018208333727614859,16632910022995741870,68,32,4,84,52,16
11018208333727614859,18047859571204980094,84,36,8,116,68,32
11018208333727614859,1319992477807027015,68,32,4,84,52,16
11018208333727614859,8572321140509640205,84,36,8,116,68,32
15268953551049530299,11871522780173434607,14,8,2,30,22,8
15268953551049530299,7961151471083848655,14,7,1,30,22,8
15268953551049530299,15786371746276086785,22,12,4,38,22,8
15268953551049530299,8703768238146895835,22,10,2,38,22,8
15268953551049530299,18387860139792047690,26,14,4,34,22,8
15268953551049530299,5856198991986604457,26,12,2,34,22,8
15268953551049530299,9581802723584445816,42,22,8,42,22,8
15268953551049530299,198170937666578798,42,18,4,42,22,8
15268953551049530299,9907127745160836775,28,14,2,60,44,16
15268953551049530299,14696297025090193322,28,14,2,60,44,16
15268953551049530299,16632910022995741870,44,20,4,76,44,16
15268953551049530299,1319992477807027015,44,20,4,76,44,16
15268953551049530299,15861483196525139553,52,24,4,68,44,16
15268953551049530299,17471456760654050195,52,24,4,68,44,16
15268953551049530299,18047859571204980094,84,36,8,84,44,16
15268953551049530299,8572321140509640205,84,36,8,84,44,16
16216628796989170150,11871522780173434607,18,10,2,30,22,8
16216628796989170150,15786371746276086785,26,12,4,46,30,16
16216628796989170150,7961151471083848655,14,7,1,22,14,4
16216628796989170150,8703768238146895835,18,8,2,30,18,8
16216628796989170150,18387860139792047690,34,18,4,34,22,8
16216628796989170150,9581802723584445816,50,22,8,50,30,16
16216628796989170150,5856198991986604457,26,12,2,26,14,4
16216628796989170150,198170937666578798,34,14,4,34,18,8
16216628796989170150,9907127745160836775,28,14,2,60,44,16
16216628796989170150,16632910022995741870,36,16,4,92,60,32
16216628796989170150,14696297025090193322,28,14,2,44,28,8
16216628796989170150,1319992477807027015,36,16,4,60,36,16
16216628796989170150,15861483196525139553,52,24,4,68,44,16
16216628796989170150,18047859571204980094,68,28,8,100,60,32
16216628796989170150,17471456760654050195,52,24,4,52,28,8
16216628796989170150,8572321140509640205,68,28,8,68,36,16
3173086585355819013,11871522780173434607,22,12,2,22,14,4
3173086585355819013,18387860139792047690,30,14,4,30,18,8
3173086585355819013,15786371746276086785,38,18,4,38,22,8
3173086585355819013,9581802723584445816,54,22,8,54,30,16
3173086585355819013,7961151471083848655,14,7,1,14,8,2
3173086585355819013,5856198991986604457,18,8,2,18,10,4
3173086585355819013,8703768238146895835,22,10,2,22,12,4
3173086585355819013,198170937666578798,30,12,4,30,16,8
3173086585355819013,9907127745160836775,28,14,2,44,28,8
3173086585355819013,15861483196525139553,36,16,4,60,36,16
3173086585355819013,16632910022995741870,44,20,4,76,44,16
3173086585355819013,18047859571204980094,60,24,8,108,60,32
3173086585355819013,14696297025090193322,28,14,2,28,16,4
3173086585355819013,17471456760654050195,36,16,4,36,20,8
3173086585355819013,1319992477807027015,44,20,4,44,24,8
3173086585355819013,8572321140509640205,60,24,8,60,32,16
5868891516497124651,11871522780173434607,22,12,2,30,22,8
5868891516497124651,15786371746276086785,30,14,4,46,30,16
5868891516497124651,18387860139792047690,38,18,4,38,22,8
5868891516497124651,9581802723584445816,54,22,8,54,30,16
5868891516497124651,7961151471083848655,14,7,1,18,12,4
5868891516497124651,8703768238146895835,18,8,2,26,16,8
5868891516497124651,5856198991986604457,22,10,2,22,12,4
5868891516497124651,198170937666578798,30,12,4,30,16,8
5868891516497124651,9907127745160836775,28,14,2,60,44,16
5868891516497124651,16632910022995741870,36,16,4,92,60,32
5868891516497124651,15861483196525139553,44,20,4,76,44,16
5868891516497124651,18047859571204980094,60,24,8,108,60,32
5868891516497124651,14696297025090193322,28,14,2,36,24,8
5868891516497124651,1319992477807027015,36,16,4,52,32,16
5868891516497124651,17471456760654050195,44,20,4,44,24,8
5868891516497124651,8572321140509640205,60,24,8,60,32,16
3679618986182254095,11871522780173434607,14,8,2,14,8,2
3679618986182254095,9907127745160836775,18,8,2,18,10,4
3679618986182254095,18387860139792047690,22,12,4,22,12,4
3679618986182254095,15861483196525139553,30,12,4,30,16,8
3679618986182254095,15786371746276086785,26,14,4,26,14,4
3679618986182254095,16632910022995741870,34,14,4,34,18,8
3679618986182254095,9581802723584445816,42,22,8,42,22,8
3679618986182254095,18047859571204980094,58,22,8,58,30,16
3679618986182254095,7961151471083848655,14,7,1,14,8,2
3679618986182254095,14696297025090193322,18,8,2,18,10,4
3679618986182254095,5856198991986604457,22,10,2,22,12,4
3679618986182254095,17471456760654050195,30,12,4,30,16,8
3679618986182254095,8703768238146895835,26,12,2,26,14,4
3679618986182254095,1319992477807027015,34,14,4,34,18,8
3679618986182254095,198170937666578798,42,18,4,42,22,8
3679618986182254095,8572321140509640205,58,22,8,58,30,16
14807754921950186792,11871522780173434607,18,10,2,18,12,4
14807754921950186792,18387860139792047690,26,12,4,26,16,8
14807754921950186792,9907127745160836775,22,10,2,22,12,4
14807754921950186792,15861483196525139553,30,12,4,30,16,8
14807754921950186792,15786371746276086785,34,18,4,34,22,8
14807754921950186792,9581802723584445816,50,22,8,50,30,16
14807754921950186792,16632910022995741870,42,18,4,42,22,8
14807754921950186792,18047859571204980094,58,22,8,58,30,16
14807754921950186792,7961151471083848655,14,7,1,18,12,4
14807754921950186792,5856198991986604457,18,8,2,26,16,8
14807754921950186792,14696297025090193322,22,10,2,22,12,4
14807754921950186792,17471456760654050195,30,12,4,30,16,8
14807754921950186792,8703768238146895835,26,12,2,34,22,8
14807754921950186792,198170937666578798,34,14,4,50,30,16
14807754921950186792,1319992477807027015,42,18,4,42,22,8
14807754921950186792,8572321140509640205,58,22,8,58,30,16
6894736385609032820,11871522780173434607,18,10,2,22,14,4
6894736385609032820,9907127745160836775,22,10,2,30,18,8
6894736385609032820,15786371746276086785,30,14,4,38,22,8
6894736385609032820,16632910022995741870,38,14,4,54,30,16
6894736385609032820,18387860139792047690,34,18,4,42,26,8
6894736385609032820,15861483196525139553,42,18,4,58,34,16
6894736385609032820,9581802723584445816,58,26,8,74,42,16
6894736385609032820,18047859571204980094,74,26,8,106,58,32
6894736385609032820,7961151471083848655,18,9,1,22,14,4
6894736385609032820,14696297025090193322,22,10,2,30,18,8
6894736385609032820,8703768238146895835,30,12,2,38,22,8
6894736385609032820,1319992477807027015,38,14,4,54,30,16
6894736385609032820,5856198991986604457,34,16,2,42,26,8
6894736385609032820,17471456760654050195,42,18,4,58,34,16
6894736385609032820,198170937666578798,58,22,4,74,42,16
6894736385609032820,8572321140509640205,74,26,8,106,58,32
7155476388443075054,11871522780173434607,22,12,2,22,14,4
7155476388443075054,15786371746276086785,30,14,4,30,18,8
7155476388443075054,9907127745160836775,30,12,2,38,22,8
7155476388443075054,16632910022995741870,38,14,4,54,30,16
7155476388443075054,18387860139792047690,42,22,4,42,26,8
7155476388443075054,9581802723584445816,58,26,8,58,34,16
7155476388443075054,15861483196525139553,58,22,4,74,42,16
7155476388443075054,18047859571204980094,74,26,8,106,58,32
7155476388443075054,7961151471083848655,18,9,1,22,14,4
7155476388443075054,8703768238146895835,22,10,2,30,18,8
7155476388443075054,14696297025090193322,30,12,2,38,22,8
7155476388443075054,1319992477807027015,38,14,4,54,30,16
7155476388443075054,5856198991986604457,34,16,2,42,26,8
7155476388443075054,198170937666578798,42,18,4,58,34,16
7155476388443075054,17471456760654050195,58,22,4,74,42,16
7155476388443075054,8572321140509640205,74,26,8,106,58,32
5970542285609216515,11871522780173434607,22,12,2,22,14,4
5970542285609216515,18387860139792047690,30,14,4,30,18,8
5970542285609216515,15786371746276086785,38,18,4,38,22,8
5970542285609216515,9581802723584445816,54,22,8,54,30,16
5970542285609216515,9907127745160836775,26,12,2,26,14,4
5970542285609216515,15861483196525139553,34,14,4,34,18,8
5970542285609216515,16632910022995741870,42,18,4,42,22,8
5970542285609216515,18047859571204980094,58,22,8,58,30,16
5970542285609216515,7961151471083848655,14,7,1,22,14,4
5970542285609216515,5856198991986604457,18,8,2,30,18,8
5970542285609216515,8703768238146895835,22,10,2,38,22,8
5970542285609216515,198170937666578798,30,12,4,54,30,16
5970542285609216515,14696297025090193322,26,12,2,26,14,4
5970542285609216515,17471456760654050195,34,14,4,34,18,8
5970542285609216515,1319992477807027015,42,18,4,42,22,8
5970542285609216515,8572321140509640205,58,22,8,58,30,16
12950537416654814731,11871522780173434607,22,12,2,30,22,8
12950537416654814731,15786371746276086785,30,14,4,46,30,16
12950537416654814731,18387860139792047690,38,18,4,38,22,8
12950537416654814731,9581802723584445816,54,22,8,54,30,16
12950537416654814731,9907127745160836775,26,12,2,34,22,8
12950537416654814731,16632910022995741870,34,14,4,50,30,16
12950537416654814731,15861483196525139553,42,18,4,42,22,8
12950537416654814731,18047859571204980094,58,22,8,58,30,16
12950537416654814731,7961151471083848655,14,7,1,30,22,8
12950537416654814731,8703768238146895835,18,8,2,46,30,16
12950537416654814731,5856198991986604457,22,10,2,38,22,8
12950537416654814731,198170937666578798,30,12,4,54,30,16
12950537416654814731,14696297025090193322,26,12,2,34,22,8
12950537416654814731,1319992477807027015,34,14,4,50,30,16
12950537416654814731,17471456760654050195,42,18,4,42,22,8
12950537416654814731,8572321140509640205,58,22,8,58,30,16
